label,event,target_text,response_text
Queries,Iran_Deal,#TBT to this royal ride with Meghan Markle and @justbobbibrown. Check out more via @people. https://t.co/ihdEvF0kwQ,@Uber @justbobbibrown @people Why should i even watch your promoted tweets when there is no way to ride an uber in Iran? Am i your target audience by any chance?
concur,General_Terms,:*… No surprise here! This toxin nothing more then an “ Obstructionist ⁦@POTUS⁩  https://t.co/FQ95rfJZor,"@Airbornex82nd @POTUS In fact, they would not exist without his support.  He is an international criminal--a very dangerous criminal."
neutral,General_Terms,"I’m in a discussion with my bf 
RT if you have to have the air on 71 or lower
Fav for 71 and higher 

Trying to end this",What’s wrong with y’all liking this tweet.... I’m sweating if it’s .1 degrees over 71 https://t.co/6iQkpWfhKQ
oppose,Student_Marches,"That time on @i24NEWS_EN, I told Yariv Oppenheimer (fmr Peace Now head) in response to his absurd claim he 'didn't see any violence from #Gaza protestors':

Me: ""Yariv, we must have been watching 2 different channels. I was watching Gaza &amp; you were watching the weather channel."" https://t.co/GBJIOJpKvV","@Ostrov_A @i24NEWS_EN ""First of all you are LYING.... ""  was the reply to your propaganda that Palestinians were putting #IDF terrorist lives at risk! 

You got put in your place and rightly so! 

The world see that israels ""most moral army in the world"" are nothing more than Murderers!"
oppose,Santa_Fe_Shooting,,"@shannonrwatts @NRA No, Ollie... first, you're a damned liar. Second, you and your group are the REAL terrorists!"
neutral,Santa_Fe_Shooting,,"a black person would get shot for taking their phone out of their pocket at the wrong time, but of course kaitlin can walk around her school with an assault rifle... that’s qwhite interesting https://t.co/b8kV7nW96b"
neutral,General_Terms,"“This is not the only tape. I can tell you that for a fact. There’s multiple tapes.” -- Michael Avenatti

https://t.co/CNjz9Ye9FZ",@CillizzaCNN Mike's not a liar
neutral,Iran_Deal,"Why? Why is his signature so big? Why, god, why? https://t.co/uCXcD9fpOl","@RJonesUX He does things #bigly except keep his word like showing taxes, draining swamp. I mean his lie ratio was off the charts during that Iran speech to #SweetDaddyVlad. Over compensate much @realDonaldTrump. #GOPComplicit #TrumpRussia #Impeach45 #25thAmendmentNow #NoWWIII #HurryMueller"
oppose,Santa_Fe_Shooting,,"I'm tired of hearing this BS. Even if your son was bullied, it doesn't justify his murders and it doesn't make him a victim. He made that choice to kill people, on his own. He wasn't brainwashed nor was he influenced. No sane person ""lashes out"" by killing innocent kids! https://t.co/jZS6ZkgS2J"
concur,Iran_Deal,"AP FACT CHECK: Trump's Iran cash story oft-told, still bogus: https://t.co/w0KzFWhos3","AP FACT CHECK: Trump's Iran cash story oft-told, still bogus: https://t.co/A2T2d00FhQ"
oppose,Student_Marches,"RT if you’re sick and tired of Democrats’ unreasonable and politically motivated obstructionism. 
https://t.co/6InTfkPPUr",@GOP No. We are sick and tired of GOP Lies and unreasonable demands that only 32% or less of Americans think are good.  DACA=GOOD  Wall=BAD.  Gun Control=GOOD
neutral,Iran_Deal,"FLASHBACK: Obama slammed the media for even asking WHY he GAVE UP on American prisoners during the #IranDeal.~@RepStevenSmith 

 https://t.co/el8TbNnF7p","Obama is lying - this man who we entrusted our precious nation with, is a liar and traitor and should be ""charged with treason"" - tried, military court, convicted, and sent to GITMO 

Shame on him:  #ObamaGate https://t.co/bWHqbBDqSD"
concur,General_Terms,"The Republican Party is the party of small government*.

* - Except for overfunding the Pentagon, bloated law enforcement spending, tax cuts billionaires don’t need, corporate welfare and swampy splurges.",@adamcbest @luckylindy31 And requiring doctors to give inaccurate information to all pregnant women about imaginary abortion risks (or risk losing their license to practice)
oppose,Student_Marches,,"All the lies and corruption of he left, and this is your hill to die on? Someone, some lone person made this. If it was not so believable it would not have worked, what does that say? https://t.co/6ynW5oq7xB"
concur,General_Terms,"thinking and speaking poorly to yourself/of yourself to others (online as well) only further manifests the negative qualities of your life you’re complaining about. quality thought, quality speech, quality spells.",This is so true.  I still self deprecate bc it’s a reflex at this point but she isn’t wrong https://t.co/ghcBDTZnFY
neutral,Santa_Fe_Shooting,Eight students and two teachers killed in Texas high school shooting are identified https://t.co/AjzGuvHmfx,And still nothing's wrong... R.I.P. https://t.co/eVtaTaoXes
oppose,Santa_Fe_Shooting,We must do more to prevent deadly synthetic drugs like #fentanyl from being shipped into the US via our Postal Service.  It’s time for the Senate to pass the #STOPAct. Here’s more from my speech on the Senate floor this week https://t.co/L3pfFlSp6L,@senrobportman I’ll pass on hearing your bullshit on the Senate floor. IT’S ABOUT GUN CONTROL you moron.
concur,Iran_Deal,"BREAKING: IRAN WILL RELEASE THE NAMES OF WESTERN POLITICIANS WHO TOOK BRIBES TO MAKE IRAN DEAL HAPPEN.
TRUMP IS GENIUS!","Let’s see how much the fake msm spins it .. maybe cut and paste Trumps name on it.. oh and of course cut Obuttocks, Slithery Hillary &amp; the male looking wicked witch Kerry’s name from it... https://t.co/7ajq0zm6MS"
neutral,Student_Marches,,"Gotta say though thats a pretty talented shop job, fake news has got some artists https://t.co/4T2N5RJQC0"
oppose,General_Terms,"I think I lost about 1.5K followers (out of close to 79K) from the great Twitter purge of 2018.  That's pretty good, right?  I read about some in the media who had a flamethrower go through their followers.",@SalSports Fake News
oppose,Santa_Fe_Shooting,We will continue to provide the best information we have at any point in time. The independent review will be completed in a few weeks &amp; we will share additional information at that time. Thanks @WLRN for sharing this information.  https://t.co/xVhAGfwd4A,"@RobertwRuncie @WLRN The lying between you and the Coward County Sheriffs Department is staggering. 

How fast you all blamed the NRA when your failures are the reason this happened. 

Your Promise program put a slap on the wrists of kids that should be in jail. 

You own that."
neutral,Student_Marches,"""These poor children, I’m afraid to say this and it hurts me to say this, but the evidence is irrefutable, they have no soul."" Ted Nugent speaks out against the Parkland student activists. https://t.co/Es5EGKuYTd","@TwitterMoments They have no soul cause they want gun control??? Yet you support a sexual predator, who lies, and has had numerous affairs while married.  Who again has no soul??"
concur,General_Terms,"Greg McElroy: “Auburn has the best quarterback in the SEC and the best defensive front seven in the league.” 
#SECMD18",I see no lies. https://t.co/bMJ1GW91yM
concur,Santa_Fe_Shooting,"Incoming NRA president Oliver North seems to link mass shootings to the taking of Ritalin—the ADHD medication—claiming that shooters have ""been drugged in many cases"" and taking Ritlalin ""since they were in kindergarten."" (via Fox) https://t.co/t8Pcx67zLW",A convicted liar and traitor expresses his bizarre opinion without evidence. https://t.co/PVcaUcoaWd
oppose,General_Terms,"Reports in Spain suggest Barcelona are growing confident of a deal for Chelsea forward Willian, and will up their initial €60m offer. https://t.co/63poJzm1cc",BULLSHIT https://t.co/qWh5mtyFLy
concur,Student_Marches,,@donmoyn The lies of the NRA must be exposed and called out. Now they are frightened and desperate.
neutral,Student_Marches,Psalm 27:13-14 I remain confident of this: I will see the goodness of the LORD in the land of the living. Wait for the LORD; be strong and take heart and wait for the LORD.,"@StephenCurry30 @SC30fanpage Hey Steph

What is up with ALL these news network's lying for decades just about everything...smh!

CNN admitted they let pro-gun control guests lie, today the left admits they want to repeal the Second Amendment. We’re finally being told the truth."
